"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","target","test","image_start","word_start","Valence","Matchness","exp_condition","screen_id"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","673","0.0-1.0","668","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","1010","0.0-2.0","337","
   <p>本实验首先需要您填写一些基本个人信息。</p>
   <p> <div style = ""color: green""><按任意键至下页></div></p>
   "," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","1011","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","2817","0.0-3.0-1.0","1805","","{""Q0"":""2""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","3706","0.0-3.0-2.0","888","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","5117","0.0-3.0-3.0","1410","","{""Q0"":""1900""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","6077","0.0-3.0-4.0","959","","{""Q0"":""6""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","24125","0.0-4.0","18046","","","","85.6","53.98","511.1180506426266","5.968761128309867","478.51","10.222361012852533","50","0.8745533432794806","28.8","15.66","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","25760","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","47144","0.0-6.0","21383","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1154},{""page_index"":1,""viewing_time"":17667},{""page_index"":2,""viewing_time"":933},{""page_index"":3,""viewing_time"":1628}]","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","11","49016","0.0-7.0-0.0-0.0","715","","f","","","","","","","","","","","","","key","f","16.66600000000006","720","446","f","true","3_Stimuli/S_ambi40.png","自我","Image","Word","1000","1150","自我","Match","Practice",""
"","","","","","html-keyboard-response","12","49322","0.0-7.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","13","51083","0.0-7.0-0.0-0.1","609","","j","","","","","","","","","","","","","key","j","16.665999999999958","720","446","j","true","3_Stimuli/C_ambi40.png","他人","Word","Image","1150","1000","朋友","Mismatch","Practice",""
"","","","","","html-keyboard-response","14","51390","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","15","53508","0.0-7.0-0.0-0.2","961","","j","","","","","","","","","","","","","key","j","16.65425396825398","720","446","j","true","3_Stimuli/C_ambi40.png","自我","Word","Image","1150","1000","朋友","Mismatch","Practice",""
"","","","","","html-keyboard-response","16","53812","0.0-7.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","17","55861","0.0-7.0-0.0-0.3","890","","f","","","","","","","","","","","","","key","f","16.666000000000004","720","446","j","false","3_Stimuli/S_ambi40.png","他人","Image","Word","1000","1150","自我","Mismatch","Practice",""
"","","","","","html-keyboard-response","18","56172","0.0-7.0-0.0-1.3","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","19","58165","0.0-7.0-0.0-0.4","834","","j","","","","","","","","","","","","","key","j","16.66599999999997","720","446","j","true","3_Stimuli/C_ambi40.png","他人","Image","Word","1000","1150","朋友","Mismatch","Practice",""
"","","","","","html-keyboard-response","20","58471","0.0-7.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
