"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","target","test","image_start","word_start","Valence","Matchness","exp_condition","screen_id"
"true","false","[]","[]","[]","preload","0","32","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","1462","0.0-1.0","1430","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","2354","0.0-2.0","891","
   <p>本实验首先需要您填写一些基本个人信息。</p>
   <p> <div style = ""color: green""><按任意键至下页></div></p>
   "," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","2354","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","6995","0.0-3.0-1.0","4640","","{""Q0"":""987654321""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","7707","0.0-3.0-2.0","709","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","10544","0.0-3.0-3.0","2835","","{""Q0"":""1998""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","12210","0.0-3.0-4.0","1666","","{""Q0"":""7""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","19890","0.0-4.0","7678","","","","85.6","53.98","317.44022648752707","3.707701845374316","771.72","6.3488045297505415","50","0.7875498413236643","29.96","15.88","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","22760","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
