success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,view_history,response_type,key_press,avg_frame_time,center_x,center_y,image,word,target,valence,matchness,correct_response,correct,exp_condition,result
TRUE,FALSE,[],[],[],preload,0,9546,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,1,30290,0.0-1.0,20742,"
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ", ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,2,33538,0.0-2.0-0.0,3247,"
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      ", ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,call-function,3,33539,0.0-2.0-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,4,79957,0.0-2.0-2.0,45899,,{"Q0":"1002"},,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,5,81332,0.0-2.0-3.0,1371,<p style = 'color : white'>您的性别</p>,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,6,88562,0.0-2.0-4.0,7228,,{"Q0":"2002"},,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,7,92128,0.0-2.0-5.0,3565,,{"Q0":"5"},,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,virtual-chinrest,8,213707,0.0-3.0,121574,,,,85.6,53.98,496.0314953,5.795736418,493.14,9.920629905,50,0.766080387,26.04,11.8,,,,,,,,,,,,,,,
TRUE,,,,,fullscreen,9,220004,0.0-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,10,313667,0.0-5.0,93660,,,,,,,,,,,,,,"[{""page_index"":0,""viewing_time"":39815},{""page_index"":1,""viewing_time"":21587},{""page_index"":2,""viewing_time"":4477},{""page_index"":3,""viewing_time"":25808},{""page_index"":4,""viewing_time"":1973}]",,,,,,,,,,,,,,
,,,,,psychophysics,11,316377,0.0-6.0-0.0-0.0,null,,null,,,,,,,,,,,,,key,null,24.74650459,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Image,朋友,Match,f,FALSE,Practice,
,,,,,html-keyboard-response,12,316691,0.0-6.0-0.0-1.0,null,<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,
,,,,,psychophysics,13,318287,0.0-6.0-0.0-0.1,429,,j,,,,,,,,,,,,,key,j,16.83083871,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,他人,Word,朋友,Mismatch,j,TRUE,Practice,
,,,,,html-keyboard-response,14,318601,0.0-6.0-0.0-1.1,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,
,,,,,psychophysics,15,320176,0.0-6.0-0.0-0.2,423,,f,,,,,,,,,,,,,key,f,16.65069149,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Word,他人,Match,f,TRUE,Practice,
,,,,,html-keyboard-response,16,320486,0.0-6.0-0.0-1.2,null,<span style='color:GreenYellow; font-size: 70px;'>正确! </span>,null,,,,,,,,,,,,,,,,,,,,,,,,,feedback,
,,,,,psychophysics,17,322289,0.0-6.0-0.0-0.3,634,,j,,,,,,,,,,,,,key,j,19.61101111,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Image,自我,Match,f,FALSE,Practice,
