"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition","result"
"true","false","[]","[]","[]","preload","0","752","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","36055","0.0-1.0","35302","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","l","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","39016","0.0-2.0-0.0","2960","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      ","l","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","39016","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","48013","0.0-2.0-2.0","8995","","{""Q0"":""1008""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","51598","0.0-2.0-3.0","3583","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","58206","0.0-2.0-4.0","6606","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","68064","0.0-2.0-5.0","9857","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","278203","0.0-3.0","210137","","","","85.6","53.98","663.7518800642247","7.756201744570715","367.8","13.275037601284494","50","0.804517495224767","37.16","19.18","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","281605","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","382086","0.0-5.0","100479","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":57443},{""page_index"":1,""viewing_time"":20615},{""page_index"":2,""viewing_time"":12016},{""page_index"":3,""viewing_time"":10405}]","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","385738","0.0-6.0","null","<count-down title=""""></count-down>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","12","387644","0.0-7.0-0.0-0.0","751","","f","","","","","","","","","","","","","key","f","16.663566371681483","960","536","3_Stimuli/C_ambi40.png","自我","Word","自我","Match","f","true","Practice",""
"","","","","","html-keyboard-response","13","387946","0.0-7.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback",""
