"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"true","false","[]","[]","[]","preload","0","21","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","19017","0.0-1.0","18993","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","20622","0.0-2.0-0.0","1604","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","20622","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","30237","0.0-2.0-2.0","9613","","{""Q0"":""1012""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","31899","0.0-2.0-3.0","1660","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","38531","0.0-2.0-4.0","6632","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","41747","0.0-2.0-5.0","3215","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","160346","0.0-3.0","118599","","","","85.6","53.98","371.52891054287676","4.340920690539829","659.12","7.430578210857536","50","1.0389501033337571","30.72","14.06","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","163945","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","200298","0.0-5.0","36352","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2976},{""page_index"":1,""viewing_time"":18536},{""page_index"":2,""viewing_time"":12280},{""page_index"":3,""viewing_time"":2560}]","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","203955","0.0-6.0","null","<count-down title=""""></count-down>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","12","206185","0.0-7.0-0.0-0.0","1063","","f","","","","","","","","","","","","","key","f","16.66136363636377","768","428","./1_3_Stimuli/T_ambi40.png","自我","Image","朋友","Mismatch","j","false","Practice"
"","","","","","html-keyboard-response","13","206493","0.0-7.0-0.0-1.0","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","14","208554","0.0-7.0-0.0-0.1","907","","j","","","","","","","","","","","","","key","j","16.662926829268123","768","428","./1_3_Stimuli/C_ambi40.png","他人","Word","他人","Match","f","false","Practice"
"","","","","","html-keyboard-response","15","208858","0.0-7.0-0.0-1.1","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","16","210996","0.0-7.0-0.0-0.2","876","","j","","","","","","","","","","","","","key","j","16.662834645669236","768","428","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","f","false","Practice"
"","","","","","html-keyboard-response","17","211324","0.0-7.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","18","213212","0.0-7.0-0.0-0.3","735","","f","","","","","","","","","","","","","key","f","16.661607142857196","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Word","朋友","Match","f","true","Practice"
"","","","","","html-keyboard-response","19","213520","0.0-7.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","20","215328","0.0-7.0-0.0-0.4","643","","j","","","","","","","","","","","","","key","j","16.66149532710279","768","428","./1_3_Stimuli/S_ambi40.png","他人","Image","自我","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","21","215633","0.0-7.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","22","217484","0.0-7.0-0.0-0.5","699","","j","","","","","","","","","","","","","key","j","16.661272727272642","768","428","./1_3_Stimuli/T_ambi40.png","自我","Word","朋友","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","23","217798","0.0-7.0-0.0-1.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","24","220200","0.0-7.0-0.0-0.6","1248","","j","","","","","","","","","","","","","key","j","16.661678321678288","768","428","./1_3_Stimuli/T_ambi40.png","他人","Word","朋友","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","25","220508","0.0-7.0-0.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","26","222621","0.0-7.0-0.0-0.7","957","","j","","","","","","","","","","","","","key","j","16.659206349206332","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Image","朋友","Match","f","false","Practice"
"","","","","","html-keyboard-response","27","222928","0.0-7.0-0.0-1.7","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","28","225075","0.0-7.0-0.0-0.8","982","","f","","","","","","","","","","","","","key","f","16.661574803149524","768","428","./1_3_Stimuli/S_ambi40.png","自我","Word","自我","Match","f","true","Practice"
"","","","","","html-keyboard-response","29","225382","0.0-7.0-0.0-1.8","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","30","227986","0.0-7.0-0.0-0.9","1453","","f","","","","","","","","","","","","","key","f","16.66154838709664","768","428","./1_3_Stimuli/C_ambi40.png","他人","Word","他人","Match","f","true","Practice"
"","","","","","html-keyboard-response","31","228295","0.0-7.0-0.0-1.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","32","230035","0.0-7.0-0.0-0.10","585","","f","","","","","","","","","","","","","key","f","16.660776699029103","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Image","朋友","Match","f","true","Practice"
"","","","","","html-keyboard-response","33","230337","0.0-7.0-0.0-1.10","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","34","233052","0.0-7.0-0.0-0.11","null","","null","","","","","","","","","","","","","key","null","16.661358024691445","768","428","./1_3_Stimuli/S_ambi40.png","朋友","Word","自我","Mismatch","j","false","Practice"
"","","","","","html-keyboard-response","35","233365","0.0-7.0-0.0-1.11","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","36","235528","0.0-7.0-0.0-0.12","920","","j","","","","","","","","","","","","","key","j","16.66108527131782","768","428","./1_3_Stimuli/C_ambi40.png","自我","Image","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","37","235839","0.0-7.0-0.0-1.12","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","38","237736","0.0-7.0-0.0-0.13","742","","j","","","","","","","","","","","","","key","j","16.6642477876106","768","428","./1_3_Stimuli/S_ambi40.png","朋友","Image","自我","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","39","238070","0.0-7.0-0.0-1.13","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","40","240135","0.0-7.0-0.0-0.14","903","","j","","","","","","","","","","","","","key","j","16.66178861788613","768","428","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","f","false","Practice"
"","","","","","html-keyboard-response","41","240436","0.0-7.0-0.0-1.14","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","42","242377","0.0-7.0-0.0-0.15","703","","f","","","","","","","","","","","","","key","f","16.66155172413785","768","428","./1_3_Stimuli/S_ambi40.png","自我","Image","自我","Match","f","true","Practice"
"","","","","","html-keyboard-response","43","242689","0.0-7.0-0.0-1.15","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","44","244523","0.0-7.0-0.0-0.16","672","","j","","","","","","","","","","","","","key","j","16.66185185185195","768","428","./1_3_Stimuli/C_ambi40.png","自我","Word","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","45","244836","0.0-7.0-0.0-1.16","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","46","246994","0.0-7.0-0.0-0.17","1003","","f","","","","","","","","","","","","","key","f","16.661550387596872","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Word","朋友","Match","f","true","Practice"
"","","","","","html-keyboard-response","47","247303","0.0-7.0-0.0-1.17","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","48","249425","0.0-7.0-0.0-0.18","959","","j","","","","","","","","","","","","","key","j","16.66269841269841","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Image","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","49","249732","0.0-7.0-0.0-1.18","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","50","251694","0.0-7.0-0.0-0.19","797","","j","","","","","","","","","","","","","key","j","16.66119658119671","768","428","./1_3_Stimuli/S_ambi40.png","他人","Word","自我","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","51","251995","0.0-7.0-0.0-1.19","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","52","254050","0.0-7.0-0.0-0.20","899","","f","","","","","","","","","","","","","key","f","16.661475409835923","768","428","./1_3_Stimuli/T_ambi40.png","他人","Image","朋友","Mismatch","j","false","Practice"
"","","","","","html-keyboard-response","53","254363","0.0-7.0-0.0-1.20","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","54","256472","0.0-7.0-0.0-0.21","948","","j","","","","","","","","","","","","","key","j","16.660793650793725","768","428","./1_3_Stimuli/S_ambi40.png","自我","Image","自我","Match","f","false","Practice"
"","","","","","html-keyboard-response","55","256780","0.0-7.0-0.0-1.21","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","56","258646","0.0-7.0-0.0-0.22","666","","j","","","","","","","","","","","","","key","j","16.66180180180199","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Word","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","57","258976","0.0-7.0-0.0-1.22","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","58","260840","0.0-7.0-0.0-0.23","707","","f","","","","","","","","","","","","","key","f","16.659459459459566","768","428","./1_3_Stimuli/S_ambi40.png","自我","Word","自我","Match","f","true","Practice"
"","","","","","html-keyboard-response","59","261166","0.0-7.0-0.0-1.23","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","html-keyboard-response","60","263327","0.0-7.0-1.0-0.0","2161","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                        <div><p class='context'>您正确回答了67% 的试次。</p><p class='context'>您的平均反应时为845毫秒。</p><p> <div style = 'color: green'><按空格键至下页></div></p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","61","277571","0.0-7.0-1.0-1.0","14244","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2131},{""page_index"":1,""viewing_time"":8232},{""page_index"":2,""viewing_time"":3881}]","","","","","","","","","","","","",""
"","","","","","psychophysics","62","279798","0.0-7.1-0.1-0.24","1071","","j","","","","","","","","","","","","","key","j","16.658947368421156","768","428","./1_3_Stimuli/C_ambi40.png","他人","Word","他人","Match","f","false","Practice"
"","","","","","html-keyboard-response","63","280113","0.0-7.1-0.1-1.24","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","64","281949","0.0-7.1-0.1-0.25","683","","j","","","","","","","","","","","","","key","j","16.66623853211005","768","428","./1_3_Stimuli/C_ambi40.png","自我","Word","他人","Mismatch","j","true","Practice"
